Month,ADAUSDT,BNBUSDT,BTCUSDT,DOGEUSDT,DOTUSDT,ETHUSDT,SOLUSDT,XRPUSDT
2021-02-01,0.40876,51.4781,33526.37,0.0348173,16.4385,1374.17,4.6148,0.37106
2021-03-01,1.29627,254.9637,49587.03,0.0505933,35.6273,1569.86,14.9855,0.44537
2021-04-01,1.18377,334.7991,58720.44,0.062151,37.461,1968.05,19.0443,0.57087
2021-05-01,1.3516,620.0,57800.37,0.39087,36.908,2944.77,49.67,1.651
2021-06-01,1.7363,362.39,36693.09,0.37006,22.84,2634.57,30.938,1.0108
2021-07-01,1.3313,287.43,33504.69,0.24381,15.174,2106.41,33.271,0.6591
2021-08-01,1.3142,332.59,39845.44,0.20424,18.418,2555.69,34.165,0.7242
2021-09-01,2.869,489.4,48810.52,0.2943,33.18,3826.82,110.71,1.2362
2021-10-01,2.256,421.5,48141.61,0.2226,31.94,3309.91,161.56,1.0422
2021-11-01,1.949,551.3,60911.11,0.2716,49.98,4319.43,203.9,1.0915
2021-12-01,1.548,627.5,57184.07,0.2093,36.76,4582.95,229.81,0.9899
2022-01-01,1.38,527.3,47722.65,0.1732,28.6,3765.54,179.06,0.8507
